generator,image_id,label,score
sd_1_5,1016887272,0,0.05033063143491745
sd_1_5,1016887272,1,0.859663724899292
sd_1_5,7162685234,0,0.7745833992958069
sd_1_5,7162685234,1,0.04778006672859192
sd_1_5,3000017878,0,0.05834583565592766
sd_1_5,3000017878,1,0.8283842206001282
sd_1_5,4971484184,0,0.05921025201678276
sd_1_5,4971484184,1,0.8824278712272644
sd_1_5,92679312,0,0.07864238321781158
sd_1_5,92679312,1,0.9263036847114563
sd_1_5,2853682342,0,0.0534033328294754
sd_1_5,2853682342,1,0.7617157697677612
sd_1_5,5131842202,0,0.049958523362874985
sd_1_5,5131842202,1,0.6808785796165466
sd_1_5,4859170265,0,0.05146276578307152
sd_1_5,4859170265,1,0.4245312809944153
sd_1_5,2612125121,0,0.02822098508477211
sd_1_5,2612125121,1,0.46778759360313416
sd_1_5,3134644844,0,0.03384403511881828
sd_1_5,3134644844,1,0.8469578623771667
sd_1_5,316298162,0,0.027585284784436226
sd_1_5,316298162,1,0.5529320240020752
sd_1_5,3601843201,0,0.0534033328294754
sd_1_5,3601843201,1,0.929951012134552
sd_1_5,5086989679,0,0.12252321094274521
sd_1_5,5086989679,1,0.875361442565918
sd_1_5,1246863003,0,0.02843603491783142
sd_1_5,1246863003,1,0.5794004201889038
sd_1_5,2193001254,0,0.200557678937912
sd_1_5,2193001254,1,0.7490872144699097
sd_1_5,4283472819,0,0.04401865229010582
sd_1_5,4283472819,1,0.8418256044387817
sd_1_5,1117972841,0,0.14706452190876007
sd_1_5,1117972841,1,0.869714617729187
sd_1_5,48614561,0,0.05108273774385452
sd_1_5,48614561,1,0.8812065720558167
sd_1_5,6232601127,0,0.025371313095092773
sd_1_5,6232601127,1,0.4191129505634308
sd_1_5,4439654945,0,0.03963884338736534
sd_1_5,4439654945,1,0.5749915242195129
sd_1_5,269898428,0,0.023330768570303917
sd_1_5,269898428,1,0.13432104885578156
sd_1_5,2113592981,0,0.04146227240562439
sd_1_5,2113592981,1,0.9219217896461487
sd_1_5,1542970158,0,0.020645931363105774
sd_1_5,1542970158,1,0.34246155619621277
sd_1_5,4743795506,0,0.03488088771700859
sd_1_5,4743795506,1,0.6546739935874939
sd_1_5,1313961775,0,0.052618954330682755
sd_1_5,1313961775,1,0.7892336845397949
sd_1_5,4005756399,0,0.027376487851142883
sd_1_5,4005756399,1,0.17781086266040802
sd_1_5,4844409798,0,0.048496004194021225
sd_1_5,4844409798,1,0.12421300262212753
sd_1_5,4970590451,0,0.048136770725250244
sd_1_5,4970590451,1,0.9569571614265442
sd_1_5,2536995789,0,0.01640303246676922
sd_1_5,2536995789,1,0.0627892017364502
sd_1_5,2230134548,0,0.03488088771700859
sd_1_5,2230134548,1,0.7793218493461609
sd_1_5,1295719054,0,0.04672496020793915
sd_1_5,1295719054,1,0.3607141971588135
sd_1_5,407815946,0,0.07159119844436646
sd_1_5,407815946,1,0.914290726184845
sd_1_5,4726677489,0,0.046378206461668015
sd_1_5,4726677489,1,0.8484706878662109
sd_1_5,2431723485,0,0.05541279539465904
sd_1_5,2431723485,1,0.9678993225097656
sd_1_5,4686568156,0,0.030908960849046707
sd_1_5,4686568156,1,0.8449215292930603
sd_1_5,688926797,0,0.03308597952127457
sd_1_5,688926797,1,0.2727987766265869
sd_1_5,3245460937,0,0.053009770810604095
sd_1_5,3245460937,1,0.9278878569602966
sd_1_5,4759710534,0,0.06325051933526993
sd_1_5,4759710534,1,0.9669140577316284
sd_1_5,6338704,0,0.013955710455775261
sd_1_5,6338704,1,0.2560870945453644
sd_1_5,2723024306,0,0.038178276270627975
sd_1_5,2723024306,1,0.7690802216529846
sd_1_5,23473996,0,0.027169233188033104
sd_1_5,23473996,1,0.42333880066871643
sd_1_5,2831215155,0,0.07159119844436646
sd_1_5,2831215155,1,0.8692712783813477
sd_1_5,4682929932,0,0.057918086647987366
sd_1_5,4682929932,1,0.6500230431556702
sd_1_5,2736263351,0,0.024053553119301796
sd_1_5,2736263351,1,0.8349459171295166
sd_1_5,4376363559,0,0.05665242671966553
sd_1_5,4376363559,1,0.7872777581214905
sd_1_5,4937441878,0,0.018124720081686974
sd_1_5,4937441878,1,0.8122723698616028
sd_1_5,6386880789,0,0.04707418009638786
sd_1_5,6386880789,1,0.8227594494819641
sd_1_5,3698607223,0,0.05665242671966553
sd_1_5,3698607223,1,0.9492946267127991
sd_1_5,3134341610,0,0.06097518280148506
sd_1_5,3134341610,1,0.9462003111839294
sd_1_5,11551286,0,0.048136770725250244
sd_1_5,11551286,1,0.9674102663993835
sd_1_5,214166720,0,0.03704717382788658
sd_1_5,214166720,1,0.5506677627563477
sd_1_5,3179223972,0,0.0427221953868866
sd_1_5,3179223972,1,0.7453983426094055
sd_1_5,4540165999,0,0.04569203406572342
sd_1_5,4540165999,1,0.8918110132217407
sd_1_5,3217187564,0,0.04885777831077576
sd_1_5,3217187564,1,0.8158201575279236
sd_1_5,1097710887,0,0.05033063143491745
sd_1_5,1097710887,1,0.8940516710281372
sd_1_5,5138003138,0,0.0534033328294754
sd_1_5,5138003138,1,0.804405927658081
sd_1_5,2743465453,0,0.03704717382788658
sd_1_5,2743465453,1,0.13161905109882355
sd_1_5,4650780114,0,0.03676946461200714
sd_1_5,4650780114,1,0.8757869601249695
sd_1_5,3518443604,0,0.03283695504069328
sd_1_5,3518443604,1,0.8539127111434937
sd_1_5,55438559,0,0.02931223064661026
sd_1_5,55438559,1,0.9167081117630005
sd_1_5,3381788544,0,0.034100428223609924
sd_1_5,3381788544,1,0.8300437331199646
sd_1_5,3584603849,0,0.04958902671933174
sd_1_5,3584603849,1,0.1901218295097351
sd_1_5,2790909995,0,0.13117322325706482
sd_1_5,2790909995,1,0.9066531658172607
sd_1_5,777288299,0,0.053799644112586975
sd_1_5,777288299,1,0.9429286122322083
sd_1_5,16396205,0,0.028007520362734795
sd_1_5,16396205,1,0.9429286122322083
sd_1_5,3774986130,0,0.04922211915254593
sd_1_5,3774986130,1,0.8766343593597412
sd_1_5,4979293130,0,0.04115288704633713
sd_1_5,4979293130,1,0.4435100555419922
sd_1_5,553918837,0,0.04146227240562439
sd_1_5,553918837,1,0.2825919985771179
sd_1_5,4507048434,0,0.05184547230601311
sd_1_5,4507048434,1,0.05707140266895294
sd_1_5,2970183443,0,0.0427221953868866
sd_1_5,2970183443,1,0.7205649614334106
sd_1_5,2645724661,0,0.05070536211133003
sd_1_5,2645724661,1,0.18535663187503815
sd_1_5,4274214534,0,0.04084571823477745
sd_1_5,4274214534,1,0.4323928952217102
sd_1_5,322563288,0,0.04535257816314697
sd_1_5,322563288,1,0.5158942937850952
sd_1_5,144571886,0,0.05070536211133003
sd_1_5,144571886,1,0.9425067901611328
sd_1_5,405615014,0,0.030675798654556274
sd_1_5,405615014,1,0.6664968132972717
sd_1_5,4848645410,0,0.048136770725250244
sd_1_5,4848645410,1,0.87103670835495
sd_1_5,4563177695,0,0.05582313984632492
sd_1_5,4563177695,1,0.31426095962524414
sd_1_5,86120682,0,0.0446808747947216
sd_1_5,86120682,1,0.9645892381668091
sd_1_5,4623878206,0,0.02161533385515213
sd_1_5,4623878206,1,0.6192409992218018
sd_1_5,392467282,0,0.053009770810604095
sd_1_5,392467282,1,0.7627776861190796
sd_1_5,3310851569,0,0.03308597952127457
sd_1_5,3310851569,1,0.18010665476322174
sd_1_5,3415178926,0,0.06512755155563354
sd_1_5,3415178926,1,0.6473524570465088
